cod_ibge;municipio;area_km2
1100015;ALTA FLORESTA D'OESTE;7067,025
1100023;ARIQUEMES;4426,571
1100031;CABIXI;1314,352
1100049;CACOAL;3792,892
1100056;CEREJEIRAS;2783,3
1100064;COLORADO DO OESTE;1451,06
1100072;CORUMBIARA;3060,321
1100080;COSTA MARQUES;4987,177
1100098;ESPIGÃO D'OESTE;4518,038
1100106;GUAJARÁ-MIRIM;24855,724
1100114;JARU;2944,128
1100122;JI-PARANÁ;6896,649
1100130;MACHADINHO D'OESTE;8509,27
1100148;NOVA BRASILÂNDIA D'OESTE;1703,008
1100155;OURO PRETO DO OESTE;1969,85
1100189;PIMENTA BUENO;6240,94
1100205;PORTO VELHO;34090,952
1100254;PRESIDENTE MÉDICI;1758,465
1100262;RIO CRESPO;1717,64
1100288;ROLIM DE MOURA;1457,888
1100296;SANTA LUZIA D'OESTE;1197,796
1100304;VILHENA;11699,15
1100320;SÃO MIGUEL DO GUAPORÉ;7460,219
1100338;NOVA MAMORÉ;10071,643
1100346;ALVORADA D'OESTE;3029,189
1100379;ALTO ALEGRE DOS PARECIS;3958,273
1100403;ALTO PARAÍSO;2651,822
1100452;BURITIS;3265,809
1100502;NOVO HORIZONTE DO OESTE;843,446
1100601;CACAULÂNDIA;1961,778
1100700;CAMPO NOVO DE RONDÔNIA;3442,005
1100809;CANDEIAS DO JAMARI;6843,868
1100908;CASTANHEIRAS;892,841
1100924;CHUPINGUAIA;5126,723
1100940;CUJUBIM;3863,946
1101005;GOVERNADOR JORGE TEIXEIRA;5067,384
1101104;ITAPUÃ DO OESTE;4081,58
1101203;MINISTRO ANDREAZZA;798,083
1101302;MIRANTE DA SERRA;1191,875
1101401;MONTE NEGRO;1931,378
1101435;NOVA UNIÃO;807,125
1101450;PARECIS;2548,683
1101468;PIMENTEIRAS DO OESTE;6014,733
1101476;PRIMAVERA DE RONDÔNIA;605,692
1101484;SÃO FELIPE D'OESTE;541,647
1101492;SÃO FRANCISCO DO GUAPORÉ;10959,767
1101500;SERINGUEIRAS;3773,505
1101559;TEIXEIRÓPOLIS;459,978
1101609;THEOBROMA;2197,413
1101708;URUPÁ;831,857
1101757;VALE DO ANARI;3135,106
1101807;VALE DO PARAÍSO;965,676
1200013;ACRELÂNDIA;1807,953
1200054;ASSIS BRASIL;4974,174
1200104;BRASILÉIA;3916,505
1200138;BUJARI;3034,869
1200179;CAPIXABA;1701,973
1200203;CRUZEIRO DO SUL;8779,407
1200252;EPITACIOLÂNDIA;1654,769
1200302;FEIJÓ;27975,427
1200328;JORDÃO;5357,282
1200336;MÂNCIO LIMA;5453,034
