cod_ibge;municipio;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1100015;Alta Floresta D'Oeste ;356190;355942;364184;365538;372731;386456;391388;407890;403973;408765;421964;428976
1100023;Ariquemes ;423750;440053;439355;446471;442851;427419;431871;455731;449108;477322;491414;477665
1100031;Cabi0i ;115908;119429;126455;122807;114831;126719;120979;130561;129593;126630;128240;121798
1100049;Cacoal ;398202;407258;417489;419282;430072;427708;438698;454967;452130;463570;451876;432640
1100056;Cerejeiras ;87554;87536;88031;89782;85034;84383;83281;90184;93540;96654;92156;89884
1100064;Colorado do Oeste ;208772;221575;230173;235774;238188;253874;250682;255188;262026;266464;264031;255696
1100072;Corumbiara ;233144;239998;256878;270673;271338;281585;276666;308620;326989;334610;328066;324898
1100080;Costa Marques ;138318;146918;158812;175476;196795;213667;220491;229225;221944;218071;231147;253226
1100098;Espigão D'Oeste ;344269;356283;364625;372401;374000;370767;384560;397743;406140;408811;400384;389774
1100106;Guajará0Mirim ;119672;116824;115725;124439;119842;117420;117173;127103;124906;125663;123155;128580
1100114;Jaru ;491908;510829;505302;506417;512125;509926;512236;522371;528035;542636;538523;517149
1100122;Ji0Paraná ;424770;436200;436353;433821;430038;428618;424792;440260;441715;432563;428178;391649
1100130;Machadinho D'Oeste ;231390;241871;257179;237991;229511;237290;267815;291490;317606;349247;374578;389409
1100148;Nova Brasilândia D'Oeste ;121534;122907;125810;129261;143846;154298;168979;179418;197814;209837;226734;219631
1100155;Ouro Preto do Oeste ;332295;331503;336278;340610;349716;345353;355206;354303;358450;373707;370751;356573
1100189;Pimenta Bueno ;231645;234393;238284;241637;237865;248692;253103;269375;287288;287642;293633;304879
1100205;Porto Velho ;608664;617901;609860;679837;707405;711903;741165;834570;900419;969745;1043523;1141763
1100254;Presidente Médici ;269672;275768;285603;286207;290539;292905;304972;317417;333301;346128;346773;337316
1100262;Rio Crespo ;138051;133964;131458;129382;121950;118342;124086;120699;123673;126550;123522;124462
1100288;Rolim de Moura ;217633;222679;223627;227932;230908;226115;235862;247957;235599;244242;234930;238803
1100296;Santa Luzia D'Oeste ;157892;169958;166146;168145;172502;166641;168280;175488;167818;174700;176864;173169
1100304;Vilhena ;89015;92180;94648;95623;99636;105138;111404;120620;125403;119810;124463;132312
1100320;São Miguel do Guaporé ;268155;272969;279618;275003;268104;254362;256339;265421;256829;247679;253377;252173
1100338;Nova Mamoré ;373544;404432;416240;439615;461573;490298;518311;565040;610056;651221;701104;730528
1100346;Alvorada D'Oeste ;222937;229952;230455;236973;241826;241850;247977;260624;263913;269695;261846;260560
1100379;Alto Alegre dos Parecis ;152251;146679;150237;154310;159276;165944;179572;187193;192322;198631;203310;208256
1100403;Alto Paraíso ;202652;207357;223768;220562;219720;221872;236100;258895;280650;298448;317253;316074
1100452;Buritis ;359747;387858;423659;431297;441629;454748;460992;458876;477919;501909;529731;516674
1100502;Novo Horizonte do Oeste ;117169;120158;127459;131027;135700;136804;147619;152638;147372;151429;149268;147395
1100601;Cacaulândia ;249598;258799;250628;250332;249882;239817;243935;245529;250680;259123;263812;266424
1100700;Campo Novo de Rondônia ;260865;278067;300509;317725;334933;347723;376300;390284;403091;433288;443867;436781
1100809;Candeias do Jamari ;165035;175700;190632;178466;184273;184782;197708;204124;203176;219785;230988;243416
1100908;Castanheiras ;97953;101166;105459;107274;104658;103463;108859;111974;112474;109587;114751;110348
1100924;Chupinguaia ;288991;288820;291492;295873;302427;298301;317650;360455;357566;350128;347241;344137
1100940;Cujubim ;123244;133254;146788;151213;146325;146686;161574;168770;180316;197405;209176;212325
1101005;Governador Jorge Tei0eira ;238092;242948;243821;372401;263085;263640;265120;276082;279947;284364;280259;274933
1101104;Itapuã do Oeste ;69677;76644;79960;75080;73071;75702;81438;84506;87846;87722;95028;94892
1101203;Ministro Andreazza ;110410;112236;113034;115755;120122;119537;122546;128252;134436;136175;129642;127192
1101302;Mirante da Serra ;102486;103900;104818;105471;109068;110969;117450;124192;124804;124788;125999;124997
1101401;Monte Negro ;232887;240209;249420;257043;257349;258038;273072;290367;288694;299342;305337;302911
1101435;Nova União ;118207;123570;126990;126513;132292;133635;135796;140449;143411;148214;149370;145648
1101450;Parecis ;127928;144200;144436;157501;155437;160015;169207;171220;174178;176568;178331;185513
1101468;Pimenteiras do Oeste ;117945;119378;118278;121781;116700;119218;118169;142601;133875;126889;138696;114046
1101476;Primavera de Rondônia ;68064;67449;71837;71181;72273;72879;72923;79478;76826;74448;75096;76120
1101484;São Felipe D'Oeste ;91924;93368;94485;93022;93767;94617;99811;101515;102749;104548;106037;107922
1101492;São Francisco do Guaporé ;367014;387330;418428;422150;435470;435786;446567;450615;444565;440897;447277;444048
1101500;Seringueiras ;167129;175196;180213;183999;187029;186278;189773;206046;217499;216579;209322;204612
1101559;Tei0eirópolis ;86986;89927;93479;95241;96109;96628;97200;98334;101089;101765;101214;100129
1101609;Theobroma ;242849;239159;253717;259440;250974;240540;257790;267952;262109;278846;279830;274396
