cod_ibge;municipio;state_cod_ibge
1100015;alta floresta d'oeste;RO
1100023;ariquemes;RO
1100031;cabixi;RO
1100049;cacoal;RO
1100056;cerejeiras;RO
1100064;colorado do oeste;RO
1100072;corumbiara;RO
1100080;costa marques;RO
1100098;espigao d'oeste;RO
1100106;guajara-mirim;RO
1100114;jaru;RO
1100122;ji-parana;RO
1100130;machadinho d'oeste;RO
1100148;nova brasilandia d'oeste;RO
1100155;ouro preto do oeste;RO
1100189;pimenta bueno;RO
1100205;porto velho;RO
1100254;presidente medici;RO
1100262;rio crespo;RO
1100288;rolim de moura;RO
1100296;santa luzia d'oeste;RO
1100304;vilhena;RO
1100320;sao miguel do guapore;RO
1100338;nova mamore;RO
1100346;alvorada d'oeste;RO
1100379;alto alegre dos parecis;RO
1100403;alto paraiso;RO
1100452;buritis;RO
1100502;novo horizonte do oeste;RO
1100601;cacaulandia;RO
1100700;campo novo de rondonia;RO
1100809;candeias do jamari;RO
1100908;castanheiras;RO
1100924;chupinguaia;RO
1100940;cujubim;RO
1101005;governador jorge teixeira;RO
1101104;itapua do oeste;RO
1101203;ministro andreazza;RO
1101302;mirante da serra;RO
1101401;monte negro;RO
1101435;nova uniao;RO
1101450;parecis;RO
1101468;pimenteiras do oeste;RO
1101476;primavera de rondonia;RO
1101484;sao felipe d'oeste;RO
1101492;sao francisco do guapore;RO
1101500;seringueiras;RO
1101559;teixeiropolis;RO
1101609;theobroma;RO
1101708;urupa;RO
1101757;vale do anari;RO
1101807;vale do paraiso;RO
1200013;acrelandia;AC
1200054;assis brasil;AC
1200104;brasileia;AC
1200138;bujari;AC
1200179;capixaba;AC
1200203;cruzeiro do sul;AC
1200252;epitaciolandia;AC
1200302;feijo;AC
1200328;jordao;AC
1200336;mancio lima;AC
1200344;manoel urbano;AC
1200351;marechal thaumaturgo;AC
1200385;placido de castro;AC
1200393;porto walter;AC
1200401;rio branco;AC
1200427;rodrigues alves;AC
1200435;santa rosa do purus;AC
1200450;senador guiomard;AC
1200500;sena madureira;AC
1200609;tarauaca;AC
1200708;xapuri;AC
1200807;porto acre;AC
1300029;alvaraes;AM
1300060;amatura;AM
1300086;anama;AM
1300102;anori;AM
1300144;apui;AM
1300201;atalaia do norte;AM
1300300;autazes;AM
1300409;barcelos;AM
1300508;barreirinha;AM
1300607;benjamin constant;AM
1300631;beruri;AM
1300680;boa vista do ramos;AM
1300706;boca do acre;AM
1300805;borba;AM
1300839;caapiranga;AM
1300904;canutama;AM
1301001;carauari;AM
1301100;careiro;AM
1301159;careiro da varzea;AM
1301209;coari;AM
1301308;codajas;AM
1301407;eirunepe;AM
1301506;envira;AM
1301605;fonte boa;AM
1301654;guajara;AM
1301704;humaita;AM
1301803;ipixuna;AM
1301852;iranduba;AM
1301902;itacoatiara;AM
1301951;itamarati;AM
1302009;itapiranga;AM
1302108;japura;AM
1302207;jurua;AM
1302306;jutai;AM
1302405;labrea;AM
1302504;manacapuru;AM
1302553;manaquiri;AM
1302603;manaus;AM
1302702;manicore;AM
1302801;maraa;AM
1302900;maues;AM
1303007;nhamunda;AM
1303106;nova olinda do norte;AM
1303205;novo airao;AM
1303304;novo aripuana;AM
1303403;parintins;AM
1303502;pauini;AM
1303536;presidente figueiredo;AM
1303569;rio preto da eva;AM
1303601;santa isabel do rio negro;AM
1303700;santo antonio do ica;AM
1303809;sao gabriel da cachoeira;AM
1303908;sao paulo de olivenca;AM
1303957;sao sebastiao do uatuma;AM
1304005;silves;AM
1304062;tabatinga;AM
1304104;tapaua;AM
1304203;tefe;AM
1304237;tonantins;AM
1304260;uarini;AM
1304302;urucara;AM
1304401;urucurituba;AM
1400027;amajari;RR
1400050;alto alegre;RR
1400100;boa vista;RR
1400159;bonfim;RR
1400175;canta;RR
1400209;caracarai;RR
1400233;caroebe;RR
1400282;iracema;RR
1400308;mucajai;RR
1400407;normandia;RR
1400456;pacaraima;RR
1400472;rorainopolis;RR
1400506;sao joao da baliza;RR
1400605;sao luiz;RR
1400704;uiramuta;RR
1500107;abaetetuba;PA
1500131;abel figueiredo;PA
1500206;acara;PA
1500305;afua;PA
1500347;agua azul do norte;PA
1500404;alenquer;PA
1500503;almeirim;PA
1500602;altamira;PA
1500701;anajas;PA
1500800;ananindeua;PA
1500859;anapu;PA
1500909;augusto correa;PA
1500958;aurora do para;PA
1501006;aveiro;PA
1501105;bagre;PA
1501204;baiao;PA
1501253;bannach;PA
1501303;barcarena;PA
1501402;belem;PA
1501451;belterra;PA
1501501;benevides;PA
1501576;bom jesus do tocantins;PA
1501600;bonito;PA
1501709;braganca;PA
1501725;brasil novo;PA
