cod_ibge;municipio;state;population
1100015;Alta Floresta D'Oeste ;RO;22728
1100023;Ariquemes ;RO;109523
1100031;Cabixi ;RO;5188
1100049;Cacoal ;RO;85893
1100056;Cerejeiras ;RO;16204
1100064;Colorado do Oeste ;RO;15544
1100072;Corumbiara ;RO;7220
1100080;Costa Marques ;RO;18798
1100098;Espigão D'Oeste ;RO;32695
1100106;Guajará-Mirim ;RO;46556
1100114;Jaru ;RO;51620
1100122;Ji-Paraná ;RO;130009
1100130;Machadinho D'Oeste ;RO;40867
1100148;Nova Brasilândia D'Oeste ;RO;20489
1100155;Ouro Preto do Oeste ;RO;35737
1100189;Pimenta Bueno ;RO;36881
1100205;Porto Velho ;RO;539354
1100254;Presidente Médici ;RO;18571
1100262;Rio Crespo ;RO;3804
1100288;Rolim de Moura ;RO;55407
1100296;Santa Luzia D'Oeste ;RO;6216
1100304;Vilhena ;RO;102211
1100320;São Miguel do Guaporé ;RO;23077
1100338;Nova Mamoré ;RO;31392
1100346;Alvorada D'Oeste ;RO;14106
1100379;Alto Alegre dos Parecis ;RO;13255
1100403;Alto Paraíso ;RO;21847
1100452;Buritis ;RO;40356
1100502;Novo Horizonte do Oeste ;RO;8329
1100601;Cacaulândia ;RO;6269
1100700;Campo Novo de Rondônia ;RO;14266
1100809;Candeias do Jamari ;RO;27388
1100908;Castanheiras ;RO;2987
1100924;Chupinguaia ;RO;11472
1100940;Cujubim ;RO;26183
1101005;Governador Jorge Teixeira ;RO;7445
1101104;Itapuã do Oeste ;RO;10641
1101203;Ministro Andreazza ;RO;9559
1101302;Mirante da Serra ;RO;10818
1101401;Monte Negro ;RO;16007
1101435;Nova União ;RO;6895
1101450;Parecis ;RO;6198
1101468;Pimenteiras do Oeste ;RO;2148
1101476;Primavera de Rondônia ;RO;2776
1101484;São Felipe D'Oeste ;RO;5066
1101492;São Francisco do Guaporé ;RO;20681
1101500;Seringueiras ;RO;11851
1101559;Teixeirópolis ;RO;4233
1101609;Theobroma ;RO;10395
1101708;Urupá ;RO;11272
1101757;Vale do Anari ;RO;11377
1101807;Vale do Paraíso ;RO;6656
1200013;Acrelândia ;AC;15490
1200054;Assis Brasil ;AC;7534
1200104;Brasiléia ;AC;26702
1200138;Bujari ;AC;10420
1200179;Capixaba ;AC;12008
1200203;Cruzeiro do Sul ;AC;89072
1200252;Epitaciolândia ;AC;18696
1200302;Feijó ;AC;34884
1200328;Jordão ;AC;8473
1200336;Mâncio Lima ;AC;19311
1200344;Manoel Urbano ;AC;9581
1200351;Marechal Thaumaturgo ;AC;19299
1200385;Plácido de Castro ;AC;19955
1200393;Porto Walter ;AC;12241
1200401;Rio Branco ;AC;413418
1200427;Rodrigues Alves ;AC;19351
1200435;Santa Rosa do Purus ;AC;6717
1200450;Senador Guiomard ;AC;23236
1200500;Sena Madureira ;AC;46511
1200609;Tarauacá ;AC;43151
1200708;Xapuri ;AC;19596
1200807;Porto Acre ;AC;18824
1300029;Alvarães ;AM;16220
1300060;Amaturá ;AM;11736
1300086;Anamã ;AM;13956
1300102;Anori ;AM;21477
1300144;Apuí ;AM;22359
1300201;Atalaia do Norte ;AM;20398
1300300;Autazes ;AM;40290
1300409;Barcelos ;AM;27638
1300508;Barreirinha ;AM;32483
1300607;Benjamin Constant ;AM;43935
1300631;Beruri ;AM;20093
1300680;Boa Vista do Ramos ;AM;19626
1300706;Boca do Acre ;AM;34635
1300805;Borba ;AM;41748
1300839;Caapiranga ;AM;13283
1300904;Canutama ;AM;15807
1301001;Carauari ;AM;28508
1301100;Careiro ;AM;38348
1301159;Careiro da Várzea ;AM;30846
1301209;Coari ;AM;85910
1301308;Codajás ;AM;29168
1301407;Eirunepé ;AM;35700
1301506;Envira ;AM;20393
1301605;Fonte Boa ;AM;17005
1301654;Guajará ;AM;16937
1301704;Humaitá ;AM;56144
1301803;Ipixuna ;AM;30436
1301852;Iranduba ;AM;49011
1301902;Itacoatiara ;AM;102701
1301951;Itamarati ;AM;7814
1302009;Itapiranga ;AM;9230
1302108;Japurá ;AM;2251
1302207;Juruá ;AM;15106
1302306;Jutaí ;AM;13886
1302405;Lábrea ;AM;46882
1302504;Manacapuru ;AM;98502
1302553;Manaquiri ;AM;33049
1302603;Manaus ;AM;2219580
1302702;Manicoré ;AM;56583
1302801;Maraã ;AM;18261
1302900;Maués ;AM;65040
1303007;Nhamundá ;AM;21443
1303106;Nova Olinda do Norte ;AM;38026
1303205;Novo Airão ;AM;19928
1303304;Novo Aripuanã ;AM;26046
1303403;Parintins ;AM;115363
1303502;Pauini ;AM;19522
1303536;Presidente Figueiredo ;AM;37193
