codigo_ibge;municipio;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1100015;Alta Floresta D'Oeste ;16870;18817;17065;19532;19402;16103;13664;11239;11594;11222;11408;11410
1100023;Ariquemes ;7656;10866;13271;7042;6160;4663;4418;4723;4371;5462;7694;10344
1100031;Cabixi ;14685;20090;17375;18539;19784;23765;25689;30949;31279;40681;49732;46306
1100049;Cacoal ;9410;10160;9954;100410;10446;7105;4885;5134;5480;4358;4478;4607
1100056;Cerejeiras ;26984;34499;43481;37040;34032;37790;47745;47925;42513;52133;58018;67181
1100064;Colorado do Oeste ;8999;9721;9510;6017;5632;6242;6708;5307;4951;5952;5122;5034
1100072;Corumbiara ;19711;37496;34596;50281;47350;59901;62128;60940;58378;71278;58372;68855
1100080;Costa Marques ;1117;1374;1522;1860;1324;1032;896;788;174;203;576;369
1100098;Espigão D'Oeste ;5096;4553;4129;3706;3899;4063;4315;4210;3845;4057;3773;3773
1100106;Guajará-Mirim ;1829;1599;1617;906;730;690;613;590;591;660;642;647
1100114;Jaru ;5752;5607;5399;4812;1866;2053;1453;2696;1601;1477;1445;1187
1100122;Ji-Paraná ;2341;2396;2460;2386;2293;1652;1197;1133;1178;1116;340;271
1100130;Machadinho D'Oeste ;11036;10015;10106;10135;10405;10760;12651;13769;12447;11695;12175;10748
1100148;Nova Brasilândia D'Oeste ;3415;2852;2711;2361;1897;1387;1389;1105;941;770;931;1228
1100155;Ouro Preto do Oeste ;4334;4117;4107;1914;1888;466;468;434;346;248;247;292
1100189;Pimenta Bueno ;2449;2049;2047;1711;1405;1190;927;1303;2260;2404;1796;1756
1100205;Porto Velho ;11382;11677;12017;11849;7454;14073;14225;23364;31155;41168;40266;50742
1100254;Presidente Médici ;7447;7457;6893;5990;4760;2327;1379;928;763;821;573;597
1100262;Rio Crespo ;2364;2589;2565;2608;8477;8153;12318;14475;16095;18725;20612;25336
1100288;Rolim de Moura ;4071;3924;3869;3367;2474;5413;5292;4543;5191;6824;4125;4141
1100296;Santa Luzia D'Oeste ;11153;9764;7965;8052;5747;5063;3800;2004;3508;3464;2058;2829
1100304;Vilhena ;65646;62416;73342;63491;110278;75171;79000;90838;100575;111645;89799;77277
1100320;São Miguel do Guaporé ;3950;3645;3588;6622;4600;9982;13598;18652;14578;18598;17411;22522
1100338;Nova Mamoré ;3276;2378;2400;2423;2400;1735;1618;1632;2066;2560;2154;4313
1100346;Alvorada D'Oeste ;5555;5562;5017;4896;5013;2524;2631;2542;1848;1632;1052;1033
1100379;Alto Alegre dos Parecis ;16784;18134;15482;16841;17803;17608;17761;20255;20108;19316;19353;19350
1100403;Alto Paraíso ;1510;1723;1907;1884;2954;2209;3254;4402;7781;8572;11153;29050
