cod_ibge;municipio
1100015;Alta Floresta D'Oeste
1100023;Ariquemes
1100031;Cabixi
1100049;Cacoal
1100056;Cerejeiras
1100064;Colorado do Oeste
1100072;Corumbiara
1100080;Costa Marques
1100098;Espigão D'Oeste
1100106;Guajará-Mirim
1100114;Jaru
1100122;Ji-Paraná
1100130;Machadinho D'Oeste
1100148;Nova Brasilândia D'Oeste
1100155;Ouro Preto do Oeste
1100189;Pimenta Bueno
1100205;Porto Velho
1100254;Presidente Médici
1100262;Rio Crespo
1100288;Rolim de Moura
1100296;Santa Luzia D'Oeste
1100304;Vilhena
1100320;São Miguel do Guaporé
1100338;Nova Mamoré
1100346;Alvorada D'Oeste
1100379;Alto Alegre dos Parecis
1100403;Alto Paraíso
1100452;Buritis
1100502;Novo Horizonte do Oeste
1100601;Cacaulândia
1100700;Campo Novo de Rondônia
1100809;Candeias do Jamari
1100908;Castanheiras
1100924;Chupinguaia
1100940;Cujubim
1101005;Governador Jorge Teixeira
1101104;Itapuã do Oeste
1101203;Ministro Andreazza
1101302;Mirante da Serra
1101401;Monte Negro
1101435;Nova União
1101450;Parecis
1101468;Pimenteiras do Oeste
1101476;Primavera de Rondônia
1101484;São Felipe D'Oeste
1101492;São Francisco do Guaporé
1101500;Seringueiras
1101559;Teixeirópolis
1101609;Theobroma
1101708;Urupá
1101757;Vale do Anari
1101807;Vale do Paraíso
1200013;Acrelândia
1200054;Assis Brasil
1200104;Brasiléia
1200138;Bujari
1200179;Capixaba
1200203;Cruzeiro do Sul
1200252;Epitaciolândia
1200302;Feijó
1200328;Jordão
1200336;Mâncio Lima
1200344;Manoel Urbano
1200351;Marechal Thaumaturgo
1200385;Plácido de Castro
1200393;Porto Walter
1200401;Rio Branco
1200427;Rodrigues Alves
1200435;Santa Rosa do Purus
1200450;Senador Guiomard
1200500;Sena Madureira
1200609;Tarauacá
1200708;Xapuri
1200807;Porto Acre
1300029;Alvarães
1300060;Amaturá
1300086;Anamã
1300102;Anori
1300144;Apuí
1300201;Atalaia do Norte
1300300;Autazes
1300409;Barcelos
1300508;Barreirinha
1300607;Benjamin Constant
1300631;Beruri
1300680;Boa Vista do Ramos
1300706;Boca do Acre
1300805;Borba
1300839;Caapiranga
1300904;Canutama
1301001;Carauari
1301100;Careiro
1301159;Careiro da Várzea
1301209;Coari
1301308;Codajás
1301407;Eirunepé
1301506;Envira
1301605;Fonte Boa
1301654;Guajará
1301704;Humaitá
1301803;Ipixuna
1301852;Iranduba
1301902;Itacoatiara
1301951;Itamarati
1302009;Itapiranga
1302108;Japurá
1302207;Juruá
1302306;Jutaí
1302405;Lábrea
1302504;Manacapuru
1302553;Manaquiri
1302603;Manaus
1302702;Manicoré
1302801;Maraã
1302900;Maués
1303007;Nhamundá
1303106;Nova Olinda do Norte
1303205;Novo Airão
1303304;Novo Aripuanã
1303403;Parintins
1303502;Pauini
1303536;Presidente Figueiredo
1303569;Rio Preto da Eva
1303601;Santa Isabel do Rio Negro
1303700;Santo Antônio do Içá
1303809;São Gabriel da Cachoeira
1303908;São Paulo de Olivença
1303957;São Sebastião do Uatumã
1304005;Silves
1304062;Tabatinga
1304104;Tapauá
1304203;Tefé
1304237;Tonantins
1304260;Uarini
1304302;Urucará
1304401;Urucurituba
1400027;Amajari
1400050;Alto Alegre
1400100;Boa Vista
1400159;Bonfim
1400175;Cantá
1400209;Caracaraí
1400233;Caroebe
1400282;Iracema
1400308;Mucajaí
1400407;Normandia
1400456;Pacaraima
1400472;Rorainópolis
1400506;São João da Baliza
1400605;São Luiz
1400704;Uiramutã
1500107;Abaetetuba
1500131;Abel Figueiredo
1500206;Acará
1500305;Afuá
1500347;Água Azul do Norte
1500404;Alenquer
1500503;Almeirim
1500602;Altamira
1500701;Anajás
1500800;Ananindeua
1500859;Anapu
1500909;Augusto Corrêa
1500958;Aurora do Pará
1501006;Aveiro
1501105;Bagre
1501204;Baião
1501253;Bannach
1501303;Barcarena
1501402;Belém
1501451;Belterra
1501501;Benevides
1501576;Bom Jesus do Tocantins
1501600;Bonito
1501709;Bragança
1501725;Brasil Novo
1501758;Brejo Grande do Araguaia
1501782;Breu Branco
1501808;Breves
1501907;Bujaru
1501956;Cachoeira do Piriá
1502004;Cachoeira do Arari
1502103;Cametá
1502152;Canaã dos Carajás
1502202;Capanema
1502301;Capitão Poço
1502400;Castanhal
1502509;Chaves
1502608;Colares
1502707;Conceição do Araguaia
1502756;Concórdia do Pará
1502764;Cumaru do Norte
1502772;Curionópolis
1502806;Curralinho
1502855;Curuá
1502905;Curuçá
1502939;dom Eliseu
1502954;Eldorado dos Carajás
1503002;Faro
1503044;Floresta do Araguaia
1503077;Garrafão do Norte
1503093;Goianésia do Pará
1503101;Gurupá
1503200;Igarapé-Açu
1503309;Igarapé-Miri
1503408;Inhangapi
1503457;Ipixuna do Pará
1503507;Irituia
1503606;Itaituba
1503705;Itupiranga
1503754;Jacareacanga
1503804;Jacundá
1503903;Juruti
1504000;Limoeiro do Ajuru
1504059;Mãe do Rio
1504109;Magalhães Barata
1504208;Marabá
1504307;Maracanã
1504406;Marapanim
1504422;Marituba
1504455;Medicilândia
1504505;Melgaço
1504604;Mocajuba
1504703;Moju
1504752;Mojuí dos Campos
1504802;Monte Alegre
1504901;Muaná
1504950;Nova Esperança do Piriá
1504976;Nova Ipixuna
1505007;Nova Timboteua
1505031;Novo Progresso
1505064;Novo Repartimento
1505106;Óbidos
1505205;Oeiras do Pará
1505304;Oriximiná
1505403;Ourém
1505437;Ourilândia do Norte
1505486;Pacajá
1505494;Palestina do Pará
1505502;Paragominas
1505536;Parauapebas
1505551;Pau D'Arco
1505601;Peixe-Boi
1505635;Piçarra
1505650;Placas
1505700;Ponta de Pedras
1505809;Portel
1505908;Porto de Moz
1506005;Prainha
1506104;Primavera
1506112;Quatipuru
1506138;Redenção
1506161;Rio Maria
1506187;Rondon do Pará
1506195;Rurópolis
1506203;Salinópolis
1506302;Salvaterra
1506351;Santa Bárbara do Pará
1506401;Santa Cruz do Arari
1506500;Santa Isabel do Pará
1506559;Santa Luzia do Pará
1506583;Santa Maria das Barreiras
1506609;Santa Maria do Pará
1506708;Santana do Araguaia
1506807;Santarém
1506906;Santarém Novo
1507003;Santo Antônio do Tauá
1507102;São Caetano de Odivelas
1507151;São domingos do Araguaia
1507201;São domingos do Capim
1507300;São Félix do Xingu
1507409;São Francisco do Pará
1507458;São Geraldo do Araguaia
1507466;São João da Ponta
1507474;São João de Pirabas
1507508;São João do Araguaia
1507607;São Miguel do Guamá
1507706;São Sebastião da Boa Vista
1507755;Sapucaia
1507805;Senador José Porfírio
1507904;Soure
1507953;Tailândia
1507961;Terra Alta
1507979;Terra Santa
1508001;Tomé-Açu
1508035;Tracuateua
1508050;Trairão
1508084;Tucumã
1508100;Tucuruí
1508126;Ulianópolis
1508159;Uruará
1508209;Vigia
1508308;Viseu
1508357;Vitória do Xingu
1508407;Xinguara
1600055;Serra do Navio
1600105;Amapá
1600154;Pedra Branca do Amapari
1600204;Calçoene
1600212;Cutias
1600238;Ferreira Gomes
1600253;Itaubal
1600279;Laranjal do Jari
1600303;Macapá
1600402;Mazagão
1600501;Oiapoque
1600535;Porto Grande
1600550;Pracuúba
1600600;Santana
1600709;Tartarugalzinho
1600808;Vitória do Jari
1700251;Abreulândia
1700301;Aguiarnópolis
1700350;Aliança do Tocantins
1700400;Almas
1700707;Alvorada
1701002;Ananás
1701051;Angico
1701101;Aparecida do Rio Negro
1701309;Aragominas
1701903;Araguacema
1702000;Araguaçu
1702109;Araguaína
1702158;Araguanã
1702208;Araguatins
1702307;Arapoema
1702406;Arraias
1702554;Augustinópolis
1702703;Aurora do Tocantins
1702901;Axixá do Tocantins
1703008;Babaçulândia
1703057;Bandeirantes do Tocantins
1703073;Barra do Ouro
1703107;Barrolândia
1703206;Bernardo Sayão
1703305;Bom Jesus do Tocantins
1703602;Brasilândia do Tocantins
1703701;Brejinho de Nazaré
1703800;Buriti do Tocantins
