cod_ibge;municipio;state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1100015;Alta Floresta D'Oeste ;RO;111291;143222;173991;167127;168805;191364;248962;256986;262077;280510;329029;341325;377799;421300;478217;485374;499306
1100023;Ariquemes ;RO;449593;539636;657193;749021;790697;905203;1064822;1133095;1364694;1651885;1703642;1799853;1921532;2037799;2184346;2287910;2463773
1100031;Cabixi ;RO;31768;40985;43392;49130;46884;49166;60588;69776;69611;77217;99586;96365;113477;116565;133342;138110;140502
1100049;Cacoal ;RO;474443;622437;622415;758960;743194;814890;928699;985479;1186494;1259024;1372705;1433254;1660650;1794478;1947283;2082761;2180454
1100056;Cerejeiras ;RO;79174;99983;121366;129107;124415;143270;167474;190902;222021;260142;357333;353270;392417;397736;408194;439245;472179
1100064;Colorado do Oeste ;RO;87254;103363;114815;126534;126670;137899;157026;174168;193093;206425;222071;242767;273759;285372;306518;328377;330428
1100072;Corumbiara ;RO;45165;57284;67309;70936;68935;72291;95990;119226;114768;145412;175872;168681;186868;190906;236624;332804;320628
1100080;Costa Marques ;RO;37308;50996;53905;62986;60812;74215;90971;99854;107583;120018;134091;149739;168605;187170;206101;212879;230164
1100098;Espigão D'Oeste ;RO;119312;153425;180676;203257;195271;220452;265616;291491;311788;347581;376177;426546;462389;483962;543318;566361;608398
1100106;Guajará-Mirim ;RO;174680;247248;302287;327643;325665;374116;491320;521104;598167;715386;516172;605131;646154;682458;740352;775195;836882
1100114;Jaru ;RO;306158;385507;420126;569682;614008;693762;708837;722047;797296;861623;1004964;1070429;1130660;1207965;1313922;1354733;1476627
1100122;Ji-Paraná ;RO;657400;774035;933474;1066022;1110409;1257350;1496176;1640344;1855359;2056220;2318729;2374801;2651246;2755755;2985775;3062162;3362336
1100130;Machadinho D'Oeste ;RO;83828;129476;156743;186678;167421;183666;234494;254438;272201;301792;353071;396658;424790;451940;512904;587758;642103
1100148;Nova Brasilândia D'Oeste ;RO;65740;89821;90569;109279;108175;139569;167221;164381;173651;188992;215982;230676;257255;272574;307760;345425;370024
1100155;Ouro Preto do Oeste ;RO;191704;243121;264994;289682;289192;319107;400931;399690;477501;507790;527990;556443;600734;633050;711121;762112;808667
1100189;Pimenta Bueno ;RO;180337;227004;264273;308139;311876;336934;419978;471876;540862;602732;687732;755542;837925;906443;1000682;1050682;1131158
1100205;Porto Velho ;RO;2325673;2765054;3388128;3801042;4093384;4474812;5267602;6841953;9093824;11139255;11970877;11699707;12793026;13970352;14751261;16974627;16647158
1100254;Presidente Médici ;RO;93482;117213;130513;146979;151891;159520;196550;216194;235589;250510;278269;292636;334713;359302;388308;410136;417601
1100262;Rio Crespo ;RO;15549;21179;22353;24700;27237;28672;37220;40075;41934;48230;56106;63732;74698;78522;90904;105272;106521
1100288;Rolim de Moura ;RO;231270;288223;334869;388188;407840;466023;590513;570998;627848;756305;845500;926089;1024962;1082400;1197691;1304503;1317091
1100296;Santa Luzia D'Oeste ;RO;46045;56920;58189;62508;65969;69961;85683;89832;98818;109366;122449;125662;132906;135949;149255;153096;146645
1100304;Vilhena ;RO;448260;586621;697750;802054;816425;916061;1148345;1244988;1447187;1491477;1797976;2011515;2124668;2185475;2421840;2523712;2769483
1100320;São Miguel do Guaporé ;RO;73737;108375;127354;137040;147255;158873;192747;234784;324476;311271;333933;395408;411122;454048;514606;633099;711451
1100338;Nova Mamoré ;RO;51341;69357;92732;113906;116144;134075;164807;183340;218431;249369;277775;308322;341402;379824;419534;463144;508702
1100346;Alvorada D'Oeste ;RO;66869;87455;97391;105142;107851;107459;127593;146945;160689;174574;184427;191138;205518;220491;243599;252252;256509
1100379;Alto Alegre dos Parecis ;RO;46139;60615;69091;76379;83329;90566;109773;123305;119974;135691;207365;183210;211214;212357;230030;328001;278480
1100403;Alto Paraíso ;RO;45060;69211;75144;81283;88368;107258;132015;146985;152235;176664;205906;214064;233006;258222;287145;307459;328751
1100452;Buritis ;RO;97946;137840;161804;193934;201021;225142;270880;290764;336265;380852;403805;427488;475961;519513;581699;649985;680976
1100502;Novo Horizonte do Oeste ;RO;46575;69626;69497;74462;71335;69106;84764;91843;95420;100846;104873;113700;127668;134273;150378;167453;165798
1100601;Cacaulândia ;RO;27707;38298;40031;43479;44557;49655;62609;66827;76701;84262;90742;99011;116988;125344;134084;139924;140630
1100700;Campo Novo de Rondônia ;RO;34793;46229;53262;61276;70259;67676;90328;98734;120440;150582;156228;181408;203987;223211;221141;266520;280341
1100809;Candeias do Jamari ;RO;61407;71276;93368;102722;110797;120362;138875;166595;228321;253982;267393;280360;317451;399266;399703;491350;567898
1100908;Castanheiras ;RO;18453;24537;25834;28341;27916;28981;35845;36778;39936;44579;46868;53263;59750;66529;68661;110916;113027
1100924;Chupinguaia ;RO;37622;53818;65399;72246;77157;92199;120566;126926;165716;179981;238955;225345;228353;235664;275131;279877;301332
1100940;Cujubim ;RO;33917;41085;48781;58407;58711;82708;108397;126006;210218;218790;221003;249223;265664;288031;315494;324735;357077
1101005;Governador Jorge Teixeira ;RO;43979;62246;70768;79524;86654;82944;95028;94025;111130;112253;118735;140140;145566;154876;163293;178524;178780
1101104;Itapuã do Oeste ;RO;37463;42517;47321;53835;72992;64746;77624;79554;90690;117104;128141;139589;133036;143840;153760;158293;180286
1101203;Ministro Andreazza ;RO;37732;52108;53368;56162;55796;67101;86018;86288;99692;116881;124807;146641;167762;170866;189597;215810;206233
1101302;Mirante da Serra ;RO;45239;63203;68871;72023;74791;81541;98424;103671;114869;119478;130632;134517;162908;178007;191943;205082;217967
1101401;Monte Negro ;RO;49520;66006;79488;83709;98361;96250;111323;120497;143417;176274;181390;205600;218407;229497;242608;267804;283003
1101435;Nova União ;RO;28852;40427;41278;44191;48789;49455;58312;62956;70739;76050;85014;86792;93875;103160;106656;121147;121054
1101450;Parecis ;RO;15886;21893;22876;24678;26628;31809;39928;43204;49986;56027;61508;71097;78819;84439;91389;99549;106590
1101468;Pimenteiras do Oeste ;RO;14809;21182;23158;23939;26912;29134;37347;40422;43812;53250;80775;77664;76783;79777;89278;99367;104579
1101476;Primavera de Rondônia ;RO;18167;25260;23638;21113;23165;25562;31804;32641;35105;38302;43790;47727;52854;53386;58681;62900;60540
1101484;São Felipe D'Oeste ;RO;23124;30784;34179;37594;40951;44705;54757;55940;58727;61616;67923;70826;73856;78389;84807;87273;89556
1101492;São Francisco do Guaporé ;RO;49113;70765;86683;95814;100399;107923;135322;156875;173610;200906;223069;245948;266619;293297;318965;335648;352762
1101500;Seringueiras ;RO;39708;62860;68072;72914;75032;76674;91524;98812;117281;134333;141930;157939;166738;180367;200123;232724;234981
1101559;Teixeirópolis ;RO;20170;28647;30438;31487;32294;34054;41414;44347;50001;56623;63277;67681;72074;79344;82670;83325;89304
1101609;Theobroma ;RO;40171;56753;58647;67655;71517;72277;92540;93931;105535;104328;125796;128042;137147;153737;169717;185034;191965
1101708;Urupá ;RO;47558;67027;75804;82257;82955;83114;105172;111032;121359;129845;128811;150563;171461;183100;196242;200082;217176
1101757;Vale do Anari ;RO;24444;36890;45244;56445;55192;60872;79440;81947;91480;89772;105600;99751;106054;118306;133118;143303;159963
1101807;Vale do Paraíso ;RO;34692;55970;55792;60209;62414;67854;85349;80138;89263;92336;95927;108134;117706;124700;130588;142330;150141
